Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Unemployed,25_34,High School,Finance,Delhi,HIGH,,109800.0,12/26/2023
Unemployed,18 to 24,Masters,Finance,Mumbai,High,,111300.0,12/27/2023
,18 to 24,Master,Education,,Medium,22.0,92900.0,12/28/2023
,55+,,Technology,urban,High,24.0,28100.0,12/29/2023
Employed,35 - 44,Bachelor's,Education,suburban,low,16.0,100400.0,12/30/2023
EMPLOYED,45-54,PhD,Finance,suburban,,30.0,,12/31/2023
employed,25_34,Bachelors,Retail,Bangalore,low,,138600.0,1/1/2024
unemployed,25-34,High School,Healthcare,Hyderabad,moderate,11.0,,1/2/2024
,18-24,Bachelors,Healthcare,Delhi,moderate,30.0,40100.0,1/3/2024
employed,55+,Bachelor's,Health,Delhi,moderate,,104800.0,1/4/2024
Unemployed,35 - 44,Master,,Bangalore,low,7.0,95700.0,1/5/2024
,,high school,Finance,Hyderabad,,,36700.0,1/6/2024
EMPLOYED,,high school,Retail,Bangalore,,28.0,,1/7/2024
UNEMPLOYED,45-54,Ph.D,Education,suburban,High,13.0,,1/8/2024
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,,116000.0,1/9/2024
Unemployed,45-54,Master,Education,rural,moderate,2.0,29300.0,1/10/2024
UNEMPLOYED,18 to 24,high school,,Bangalore,HIGH,,24700.0,1/11/2024
employed,55+,PhD,Retail,Mumbai,low,,36200.0,1/12/2024
UNEMPLOYED,25_34,Masters,Education,Delhi,Medium,10.0,17800.0,1/13/2024
unemployed,18-24,Master,Health,Urban,Medium,11.0,52900.0,1/14/2024
unemployed,35 - 44,Masters,Retail,,low,,141000.0,1/15/2024
UNEMPLOYED,45-54,high school,Retail,rural,HIGH,,90300.0,1/16/2024
employed,25-34,,Finance,Urban,,30.0,139000.0,1/17/2024
Employed,35 - 44,Bachelors,Technology,Bangalore,HIGH,,63200.0,1/18/2024
unemployed,,Ph.D,Tech ,urban,moderate,,94400.0,1/19/2024
unemployed,35 - 44,Ph.D,Technology,Delhi,low,0.0,34800.0,1/20/2024
,25_34,Master,Finance,rural,HIGH,,61200.0,1/21/2024
Employed,35 - 44,,Health,rural,HIGH,29.0,138400.0,1/22/2024
Employed,18-24,high school,Technology,Urban,Medium,,97300.0,1/23/2024
UNEMPLOYED,18-24,High School,Healthcare,Mumbai,moderate,29.0,64300.0,1/24/2024
employed,25_34,Bachelor's,,Bangalore,moderate,,59100.0,1/25/2024
UNEMPLOYED,,Masters,Retail,suburban,,19.0,92700.0,1/26/2024
UNEMPLOYED,25_34,Masters,Retail,urban,moderate,24.0,64900.0,1/27/2024
unemployed,18 to 24,Masters,Tech ,Delhi,HIGH,,45800.0,1/28/2024
,25-34,Masters,Retail,Urban,High,26.0,120000.0,1/29/2024
Employed,35 - 44,,Tech ,Mumbai,HIGH,11.0,134400.0,1/30/2024
unemployed,25_34,Bachelor's,Education,Bangalore,Low,1.0,106500.0,1/31/2024
Unemployed,55+,Master,,Bangalore,,,140000.0,2/1/2024
EMPLOYED,18 to 24,Masters,Retail,Urban,Low,16.0,,2/2/2024
,18-24,Master,Education,Delhi,Medium,,,2/3/2024
Employed,45-54,Bachelor's,Education,Hyderabad,low,,86300.0,2/4/2024
unemployed,35 - 44,PhD,Retail,suburban,moderate,,39500.0,2/5/2024
Unemployed,25_34,,Retail,Delhi,Medium,,71000.0,2/6/2024
Unemployed,18 to 24,,Health,,low,29.0,,2/7/2024
employed,,Master,Healthcare,Delhi,moderate,,131000.0,2/8/2024
employed,18-24,Ph.D,Education,Mumbai,High,,42600.0,2/9/2024
,18 to 24,Bachelor's,Technology,Mumbai,HIGH,10.0,86700.0,2/10/2024
unemployed,18 to 24,Bachelor's,Education,urban,HIGH,,,2/11/2024
Employed,25_34,Masters,,rural,moderate,,21500.0,2/12/2024
unemployed,,Diploma,,rural,Low,15.0,100400.0,2/13/2024
employed,45-54,Master,Technology,Mumbai,High,,,2/14/2024
EMPLOYED,45-54,Ph.D,Retail,rural,,15.0,111300.0,2/15/2024
Employed,45-54,high school, Fintech,rural,High,,,2/16/2024
EMPLOYED,,Masters,Finance,Urban,HIGH,23.0,100900.0,2/17/2024
Employed,25_34,,Education,Delhi,,,36600.0,2/18/2024
Unemployed,18-24,Ph.D,Retail,suburban,High,5.0,46300.0,2/19/2024
employed,25_34,Ph.D,Tech ,suburban,Medium,19.0,,2/20/2024
unemployed,25_34,PhD,Tech ,Urban,Medium,,,2/21/2024
Employed,,Masters,Tech ,rural,Low,,115600.0,2/22/2024
UNEMPLOYED,45-54,PhD,Retail,,low,,,2/23/2024
UNEMPLOYED,,high school,Healthcare,suburban,moderate,30.0,8600.0,2/24/2024
,35 - 44,high school,Education,Bangalore,High,,117600.0,2/25/2024
EMPLOYED,35 - 44,high school,Finance,Bangalore,low,,12400.0,2/26/2024
EMPLOYED,45-54,Bachelors,Education,Hyderabad,HIGH,5.0,119200.0,2/27/2024
UNEMPLOYED,18 to 24,Master,Tech ,Hyderabad,High,,109300.0,2/28/2024
employed,45-54,Master,Retail,Hyderabad,moderate,,84700.0,2/29/2024
Employed,18-24,Bachelors, Fintech,Urban,low,,9100.0,3/1/2024
Employed,,Bachelors,Education,Urban,,9.0,88800.0,3/2/2024
UNEMPLOYED,25-34,Bachelor's,Tech ,Hyderabad,moderate,2.0,16000.0,3/3/2024
EMPLOYED,25-34,high school,Retail,,Low,,58000.0,3/4/2024
unemployed,18 to 24,Master,Education,suburban,low,6.0,18300.0,3/5/2024
UNEMPLOYED,55+,Bachelor's,Tech ,rural,Medium,,,3/6/2024
unemployed,18 to 24,Bachelor's,Healthcare,suburban,High,,,3/7/2024
Employed,18 to 24,high school, Fintech,,HIGH,,,3/8/2024
Unemployed,18-24,High School,Education,Hyderabad,Low,20.0,14700.0,3/9/2024
EMPLOYED,18 to 24,high school,Retail,Bangalore,low,21.0,,3/10/2024
Employed,18 to 24,High School,Healthcare,urban,Medium,,117800.0,3/11/2024
unemployed,55+,Masters, Fintech,Bangalore,moderate,,50800.0,3/12/2024
unemployed,55+,Diploma,Health,Delhi,HIGH,4.0,73300.0,3/13/2024
EMPLOYED,25_34,Master,Health,Bangalore,Low,,17700.0,3/14/2024
Unemployed,25_34,Masters, Fintech,Urban,moderate,3.0,,3/15/2024
employed,45-54,Bachelors,Retail,Hyderabad,High,23.0,120500.0,3/16/2024
Employed,25-34,PhD, Fintech,urban,low,,15000.0,3/17/2024
employed,,Master,Technology,Mumbai,low,14.0,21300.0,3/18/2024
UNEMPLOYED,45-54,Bachelors,,Delhi,low,,116000.0,3/19/2024
Employed,18 to 24,Masters,Technology,suburban,Low,16.0,,3/20/2024
UNEMPLOYED,18-24,,Finance,rural,HIGH,7.0,121300.0,3/21/2024
EMPLOYED,,Diploma,Retail,Delhi,Medium,3.0,103300.0,3/22/2024
EMPLOYED,25-34,PhD,Technology,Urban,HIGH,29.0,90500.0,3/23/2024
,45-54,high school,Healthcare,Mumbai,,4.0,131700.0,3/24/2024
,25_34,High School,,Bangalore,Medium,,20600.0,3/25/2024
employed,25_34,Bachelor's,Health,Mumbai,HIGH,,135400.0,3/26/2024
unemployed,25_34,PhD,Retail,Urban,High,,47700.0,3/27/2024
EMPLOYED,,High School,Tech ,Bangalore,,19.0,130300.0,3/28/2024
EMPLOYED,25-34,High School,Health,urban,High,29.0,144500.0,3/29/2024
unemployed,18 to 24,High School,,Mumbai,moderate,,106600.0,3/30/2024
,,Bachelors,Finance,Delhi,High,30.0,75200.0,3/31/2024
UNEMPLOYED,35 - 44,Masters,Tech ,suburban,HIGH,,5100.0,4/1/2024
,35 - 44,PhD,Health,Hyderabad,low,7.0,145100.0,4/2/2024
,25_34,High School,Healthcare,,moderate,,57500.0,4/3/2024
EMPLOYED,25_34,Master, Fintech,urban,HIGH,,74500.0,4/4/2024
UNEMPLOYED,55+,Master, Fintech,suburban,HIGH,,105900.0,4/5/2024
,,Diploma,Tech ,Mumbai,HIGH,17.0,28200.0,4/6/2024
UNEMPLOYED,45-54,PhD,Technology,Delhi,Medium,,84500.0,4/7/2024
UNEMPLOYED,55+,high school,Healthcare,Bangalore,HIGH,,147100.0,4/8/2024
,25-34,Bachelor's,Tech ,suburban,High,17.0,10500.0,4/9/2024
Employed,45-54,,Finance,urban,Low,16.0,86900.0,4/10/2024
Unemployed,25-34,Bachelor's, Fintech,Hyderabad,Low,,105200.0,4/11/2024
EMPLOYED,35 - 44,,Technology,urban,,,,4/12/2024
employed,55+,Ph.D,Health,Urban,moderate,,134500.0,4/13/2024
,35 - 44,,Education,rural,High,,147200.0,4/14/2024
unemployed,35 - 44,PhD,Retail,,low,,81500.0,4/15/2024
Employed,55+,Bachelor's,Tech ,Mumbai,moderate,5.0,16200.0,4/16/2024
Employed,35 - 44,high school,Technology,Bangalore,moderate,20.0,136000.0,4/17/2024
employed,,high school, Fintech,Delhi,,,,4/18/2024
UNEMPLOYED,18-24,,Retail,Bangalore,HIGH,,29800.0,4/19/2024
Unemployed,25_34,Diploma,Retail,Bangalore,,5.0,,4/20/2024
employed,55+,Ph.D,,Hyderabad,moderate,22.0,115100.0,4/21/2024
Employed,45-54,,Health,suburban,moderate,0.0,75100.0,4/22/2024
employed,25_34,Bachelor's,Health,Urban,HIGH,17.0,98200.0,4/23/2024
Unemployed,55+,Ph.D,,suburban,High,18.0,86000.0,4/24/2024
Employed,45-54,Bachelor's,Education,,High,6.0,29900.0,4/25/2024
employed,25-34,Bachelors,Health,,Low,1.0,114500.0,4/26/2024
Unemployed,45-54,PhD,Technology,urban,moderate,25.0,,4/27/2024
UNEMPLOYED,35 - 44,Bachelors,Technology,,moderate,,67500.0,4/28/2024
Unemployed,,Diploma,Finance,,,,149000.0,4/29/2024
employed,18-24,Ph.D,Health,urban,High,26.0,6800.0,4/30/2024
Employed,25-34,Bachelor's, Fintech,Bangalore,High,26.0,64900.0,5/1/2024
UNEMPLOYED,18 to 24,Bachelors,Retail,urban,High,7.0,146300.0,5/2/2024
unemployed,35 - 44,Bachelors,Healthcare,suburban,moderate,,55600.0,5/3/2024
employed,18-24,Diploma,Finance,urban,low,,,5/4/2024
employed,,Diploma,Retail,,HIGH,,,5/5/2024
EMPLOYED,18 to 24,Bachelors,Finance,Mumbai,Low,29.0,51100.0,5/6/2024
unemployed,35 - 44,Masters,Retail,Urban,High,16.0,11000.0,5/7/2024
Employed,55+,PhD,Tech ,Urban,Medium,19.0,62800.0,5/8/2024
unemployed,18 to 24,Bachelors,Health,Delhi,Medium,,,5/9/2024
EMPLOYED,18-24,Bachelor's,Technology,urban,High,26.0,46000.0,5/10/2024
EMPLOYED,18-24,Masters,Education,Urban,moderate,24.0,,5/11/2024
Employed,55+,Masters,Tech ,Mumbai,moderate,0.0,105500.0,5/12/2024
,,Bachelor's,Finance,suburban,HIGH,,62600.0,5/13/2024
employed,25_34,High School,Retail,Urban,HIGH,,60200.0,5/14/2024
UNEMPLOYED,55+,Bachelors,,suburban,low,5.0,87200.0,5/15/2024
employed,35 - 44,PhD,Retail,Mumbai,,,118000.0,5/16/2024
unemployed,,Ph.D,Healthcare,urban,HIGH,,,5/17/2024
EMPLOYED,55+,Diploma,Education,Urban,Low,5.0,17400.0,5/18/2024
Employed,25-34,Ph.D, Fintech,Urban,,27.0,,5/19/2024
,25_34,Ph.D,Health,Hyderabad,Medium,10.0,,5/20/2024
employed,25-34,Ph.D,Healthcare,Mumbai,,11.0,137600.0,5/21/2024
,18 to 24,Ph.D,Health,rural,low,14.0,,5/22/2024
Employed,18-24,,Health,rural,HIGH,,68800.0,5/23/2024
Employed,,Bachelors,Retail,urban,HIGH,,107000.0,5/24/2024
employed,45-54,High School,,Urban,Low,7.0,63500.0,5/25/2024
Unemployed,18 to 24,high school,,Bangalore,low,0.0,47400.0,5/26/2024
,,Bachelor's, Fintech,urban,Medium,3.0,99800.0,5/27/2024
Employed,35 - 44,Masters,Technology,suburban,Medium,23.0,34900.0,5/28/2024
EMPLOYED,35 - 44,Ph.D, Fintech,Bangalore,Medium,,82800.0,5/29/2024
employed,18 to 24,Ph.D,Technology,Mumbai,,27.0,107800.0,5/30/2024
unemployed,18-24,Bachelor's,Education,Urban,Low,,54500.0,5/31/2024
Employed,18-24,Ph.D,Retail,Urban,moderate,,47100.0,6/1/2024
Employed,,Diploma,Retail,Urban,Low,1.0,15000.0,6/2/2024
EMPLOYED,18 to 24,Diploma,Retail,Delhi,low,,94500.0,6/3/2024
Unemployed,18 to 24,Ph.D,Tech ,,High,,27200.0,6/4/2024
UNEMPLOYED,18 to 24,Master,Retail,suburban,low,18.0,100400.0,6/5/2024
unemployed,,PhD,Tech ,suburban,High,5.0,34100.0,6/6/2024
Unemployed,55+,,,Mumbai,Medium,,,6/7/2024
Unemployed,45-54,high school,Education,,moderate,,8000.0,6/8/2024
,45-54,,Technology,suburban,low,,,6/9/2024
UNEMPLOYED,35 - 44,Ph.D,Technology,Hyderabad,low,,130500.0,6/10/2024
Unemployed,35 - 44,Masters, Fintech,urban,Low,,122900.0,6/11/2024
UNEMPLOYED,55+,Bachelor's,Healthcare,Mumbai,HIGH,4.0,93400.0,6/12/2024
EMPLOYED,35 - 44,,Retail,Urban,Medium,21.0,77700.0,6/13/2024
UNEMPLOYED,45-54,Masters,Tech ,Hyderabad,low,,52400.0,6/14/2024
,,Bachelors, Fintech,rural,Low,27.0,,6/15/2024
Unemployed,,high school,Tech ,Hyderabad,moderate,13.0,37300.0,6/16/2024
unemployed,55+,Masters,Education,Urban,HIGH,19.0,96700.0,6/17/2024
Employed,55+,Bachelor's,,urban,High,,8200.0,6/18/2024
,18 to 24,PhD,Health,Urban,low,,,6/19/2024
UNEMPLOYED,55+,, Fintech,urban,HIGH,11.0,72100.0,6/20/2024
employed,55+,,Technology,,moderate,,9800.0,6/21/2024
unemployed,25_34,Diploma,Education,Bangalore,HIGH,,24600.0,6/22/2024
unemployed,55+,Diploma,Education,Bangalore,High,,133700.0,6/23/2024
EMPLOYED,,High School,Retail,Bangalore,moderate,,21400.0,6/24/2024
Employed,18-24,PhD,Retail,Delhi,Medium,0.0,138700.0,6/25/2024
,45-54,, Fintech,Mumbai,,,125500.0,6/26/2024
EMPLOYED,18 to 24,High School,Education,rural,Medium,,87400.0,6/27/2024
unemployed,18-24,Masters,Healthcare,Hyderabad,Low,13.0,133300.0,6/28/2024
employed,45-54,Bachelor's, Fintech,Mumbai,HIGH,28.0,24100.0,6/29/2024
Employed,25-34,,Finance,suburban,moderate,25.0,64600.0,6/30/2024
,25-34,Bachelors,Tech ,urban,Low,23.0,108700.0,7/1/2024
EMPLOYED,,Master, Fintech,,moderate,,38500.0,7/2/2024
,55+,Bachelor's,Tech ,Delhi,Medium,28.0,40400.0,7/3/2024
UNEMPLOYED,,Bachelor's,Health,Bangalore,low,20.0,17200.0,7/4/2024
UNEMPLOYED,18 to 24,high school,Finance,Bangalore,Medium,,132900.0,7/5/2024
Unemployed,35 - 44,Diploma,Education,rural,,13.0,102800.0,7/6/2024
employed,55+,Bachelors,Finance,Hyderabad,,25.0,95600.0,7/7/2024
Unemployed,25-34,,Finance,rural,moderate,,69500.0,7/8/2024
,45-54,Bachelors,Health,urban,moderate,10.0,86000.0,7/9/2024
employed,18-24,Masters,Healthcare,urban,,3.0,140800.0,7/10/2024
unemployed,55+,High School,Technology,Hyderabad,HIGH,,84700.0,7/11/2024
unemployed,25-34,Ph.D,Finance,,HIGH,,56600.0,7/12/2024
,35 - 44,,Retail,Delhi,High,22.0,66700.0,7/13/2024
Unemployed,55+,Masters,Finance,Bangalore,Medium,,96400.0,7/14/2024
EMPLOYED,18 to 24,,Retail,rural,High,0.0,101400.0,7/15/2024
employed,18 to 24,, Fintech,Bangalore,,21.0,37300.0,7/16/2024
unemployed,35 - 44,PhD,Retail,Bangalore,High,,124400.0,7/17/2024
unemployed,18-24,Bachelors,Technology,Bangalore,High,,128000.0,7/18/2024
unemployed,45-54,Diploma,Retail,rural,Low,16.0,,7/19/2024
employed,18-24,Master,Health,Hyderabad,Medium,,34700.0,7/20/2024
Unemployed,45-54,high school,Tech ,urban,moderate,,34700.0,7/21/2024
Unemployed,45-54,Bachelors,Technology,Delhi,low,7.0,,7/22/2024
Unemployed,45-54,high school,Health,Hyderabad,low,3.0,,7/23/2024
Unemployed,18-24,Bachelor's,Health,urban,Low,,117800.0,7/24/2024
Employed,25-34,PhD,Retail,Urban,Medium,,69500.0,7/25/2024
,18-24,Ph.D,Retail,Mumbai,moderate,18.0,148400.0,7/26/2024
UNEMPLOYED,25_34,PhD,Retail,Urban,low,,,7/27/2024
Employed,25_34,high school,Retail,rural,,,61600.0,7/28/2024
Unemployed,,PhD,Education,,Low,,83100.0,7/29/2024
Employed,55+,Masters,Education,Mumbai,low,,,7/30/2024
Unemployed,25-34,Bachelor's, Fintech,rural,moderate,23.0,140600.0,7/31/2024
employed,18 to 24,Bachelors,Education,Hyderabad,low,28.0,,8/1/2024
UNEMPLOYED,25_34,Masters,,urban,Low,13.0,57100.0,8/2/2024
Employed,55+,Master,Retail,suburban,High,4.0,97800.0,8/3/2024
EMPLOYED,18-24,PhD,Retail,Hyderabad,moderate,0.0,86600.0,8/4/2024
EMPLOYED,45-54,Bachelors,Health,Hyderabad,low,,,8/5/2024
UNEMPLOYED,25-34,PhD,Health,Urban,,,,8/6/2024
EMPLOYED,,Masters,Health,Urban,low,27.0,103400.0,8/7/2024
unemployed,55+,,Retail,Hyderabad,HIGH,10.0,88800.0,8/8/2024
,45-54,,Education,urban,low,29.0,133800.0,8/9/2024
employed,25_34,,Health,urban,,,36200.0,8/10/2024
Unemployed,,high school, Fintech,Mumbai,Low,,,8/11/2024
Employed,,Masters,Finance,urban,Medium,,103800.0,8/12/2024
unemployed,18 to 24,High School,Health,rural,low,1.0,109300.0,8/13/2024
UNEMPLOYED,25_34,Master,Technology,Hyderabad,High,28.0,73000.0,8/14/2024
unemployed,18-24,Master,Healthcare,suburban,HIGH,,102400.0,8/15/2024
unemployed,45-54,Master,Health,Delhi,Low,,140300.0,8/16/2024
Employed,35 - 44,High School,Health,urban,High,,32800.0,8/17/2024
Employed,45-54,,Healthcare,Delhi,Medium,,132400.0,8/18/2024
Employed,55+,PhD,Retail,Hyderabad,,,15200.0,8/19/2024
UNEMPLOYED,45-54,Bachelors,,urban,HIGH,,60600.0,8/20/2024
Unemployed,45-54,Diploma,Retail,urban,HIGH,19.0,70900.0,8/21/2024
employed,25_34,Masters,Healthcare,Hyderabad,low,11.0,132100.0,8/22/2024
Employed,45-54,high school,Finance,Bangalore,moderate,,146900.0,8/23/2024
UNEMPLOYED,35 - 44,Masters,Healthcare,Delhi,low,18.0,74600.0,8/24/2024
employed,,Diploma, Fintech,Delhi,HIGH,,145600.0,8/25/2024
EMPLOYED,,Diploma,Technology,Delhi,,,,8/26/2024
Unemployed,35 - 44,PhD,Tech ,Hyderabad,low,29.0,30700.0,8/27/2024
Employed,45-54,PhD,Tech ,suburban,HIGH,15.0,,8/28/2024
EMPLOYED,55+,PhD,Technology,suburban,HIGH,,11200.0,8/29/2024
UNEMPLOYED,,Masters,Retail,Bangalore,Medium,,18100.0,8/30/2024
employed,,high school,Education,Urban,HIGH,,43100.0,8/31/2024
unemployed,45-54,PhD,Technology,urban,Medium,,62600.0,9/1/2024
unemployed,25-34,Master,,rural,,19.0,137500.0,9/2/2024
Employed,18 to 24,Bachelors,Healthcare,suburban,Medium,7.0,87900.0,9/3/2024
EMPLOYED,,Bachelors,,rural,,28.0,,9/4/2024
employed,25_34,High School, Fintech,rural,Medium,,,9/5/2024
employed,25_34,Ph.D,Retail,suburban,Low,,118800.0,9/6/2024
UNEMPLOYED,25-34,high school,Education,Bangalore,HIGH,21.0,144100.0,9/7/2024
EMPLOYED,18 to 24,Bachelor's,Health,Mumbai,low,9.0,,9/8/2024
UNEMPLOYED,,,Technology,suburban,moderate,22.0,49500.0,9/9/2024
unemployed,25-34,Diploma,Health,,Low,29.0,117500.0,9/10/2024
UNEMPLOYED,18-24,high school,Technology,Delhi,High,,109800.0,9/11/2024
EMPLOYED,18 to 24,,Finance,Urban,HIGH,,65500.0,9/12/2024
,45-54,PhD,Technology,Urban,low,14.0,30000.0,9/13/2024
employed,18 to 24,Masters,Education,rural,Medium,,62100.0,9/14/2024
EMPLOYED,25-34,Master,,Urban,Low,14.0,104400.0,9/15/2024
Unemployed,,PhD,Education,Delhi,low,,116100.0,9/16/2024
employed,,High School,Tech ,Hyderabad,HIGH,,58700.0,9/17/2024
Unemployed,18 to 24,Master,Tech ,,moderate,,19000.0,9/18/2024
Employed,18-24,Diploma,Retail,urban,low,14.0,143200.0,9/19/2024
,25-34,,Retail,Bangalore,Low,,10100.0,9/20/2024
,35 - 44,Bachelor's,Health,Hyderabad,Medium,22.0,147100.0,9/21/2024
EMPLOYED,45-54,,Healthcare,Delhi,HIGH,,,9/22/2024
EMPLOYED,25_34,Bachelors,Tech ,Hyderabad,HIGH,,87800.0,9/23/2024
employed,55+,High School,Tech ,rural,Low,,75000.0,9/24/2024
unemployed,25-34,Bachelor's, Fintech,Bangalore,Medium,14.0,51800.0,9/25/2024
EMPLOYED,,Bachelors,Education,,moderate,,,9/26/2024
Employed,18 to 24,High School,Tech ,Hyderabad,High,,96300.0,9/27/2024
unemployed,35 - 44,PhD,Retail,Delhi,High,,64500.0,9/28/2024
UNEMPLOYED,55+,High School,Tech ,Delhi,HIGH,9.0,,9/29/2024
,18-24,Masters,Retail,Urban,Medium,17.0,,9/30/2024
employed,18 to 24,,Health,suburban,High,15.0,30100.0,10/1/2024
UNEMPLOYED,45-54,Ph.D,Tech ,suburban,Low,,101500.0,10/2/2024
UNEMPLOYED,25-34,High School,,Hyderabad,Medium,18.0,86300.0,10/3/2024
Employed,55+,High School,Finance,,HIGH,,,10/4/2024
unemployed,,Master,Finance,Hyderabad,HIGH,,90400.0,10/5/2024
unemployed,35 - 44,Bachelor's,Tech ,Mumbai,Low,16.0,118500.0,10/6/2024
EMPLOYED,18 to 24,,Education,Delhi,,2.0,23900.0,10/7/2024
Unemployed,25_34,Diploma,,Mumbai,low,10.0,,10/8/2024
Employed,18-24,Bachelors,Healthcare,Bangalore,moderate,23.0,113800.0,10/9/2024
Unemployed,55+,Master,Technology,Delhi,low,8.0,132700.0,10/10/2024
employed,25-34,Masters,Tech ,Bangalore,High,2.0,26800.0,10/11/2024
unemployed,18-24,Masters,,rural,moderate,10.0,52200.0,10/12/2024
EMPLOYED,35 - 44,High School,Healthcare,Mumbai,,,55000.0,10/13/2024
Unemployed,18 to 24,Masters,Tech ,Delhi,,30.0,99500.0,10/14/2024
EMPLOYED,45-54,Master,Tech ,,HIGH,,104400.0,10/15/2024
,18 to 24,PhD,Healthcare,Urban,High,7.0,99600.0,10/16/2024
employed,25_34,Bachelors,Healthcare,Urban,moderate,26.0,112300.0,10/17/2024
Employed,18-24,Diploma,Retail,rural,moderate,,,10/18/2024
,55+,Diploma, Fintech,,High,9.0,9500.0,10/19/2024
EMPLOYED,18-24,Master,Retail,rural,,,16400.0,10/20/2024
Employed,35 - 44,,,Hyderabad,Medium,0.0,147800.0,10/21/2024
unemployed,55+,Bachelor's,Health,Hyderabad,,2.0,,10/22/2024
Unemployed,25-34,Ph.D,Finance,Urban,High,26.0,43900.0,10/23/2024
unemployed,25-34,Diploma,Technology,rural,Medium,,,10/24/2024
UNEMPLOYED,18 to 24,High School, Fintech,Bangalore,HIGH,,123100.0,10/25/2024
EMPLOYED,35 - 44,,Retail,Mumbai,Low,,59500.0,10/26/2024
employed,18-24,Diploma,Retail,Hyderabad,High,,,10/27/2024
unemployed,25-34,Bachelors,Tech ,,HIGH,,115400.0,10/28/2024
Unemployed,45-54,Diploma,,urban,moderate,,13100.0,10/29/2024
Employed,35 - 44,PhD, Fintech,,Low,5.0,,10/30/2024
Employed,55+,PhD,Healthcare,,,16.0,,10/31/2024
Employed,,Bachelors,Retail,Urban,HIGH,28.0,,11/1/2024
employed,25_34,,Tech ,Bangalore,HIGH,,130800.0,11/2/2024
employed,55+,PhD,Technology,suburban,,,133400.0,11/3/2024
,25_34,Ph.D,Finance,rural,,24.0,100300.0,11/4/2024
Employed,55+,,Health,Delhi,low,,68800.0,11/5/2024
Employed,55+,PhD,,urban,HIGH,5.0,22700.0,11/6/2024
EMPLOYED,18 to 24,Ph.D,Tech ,,,2.0,58400.0,11/7/2024
Employed,25_34,Ph.D,Education,Mumbai,Low,21.0,40200.0,11/8/2024
employed,18-24,high school,Finance,Bangalore,HIGH,,,11/9/2024
EMPLOYED,25-34,Bachelor's,Retail,Bangalore,Low,22.0,,11/10/2024
,55+,PhD,Retail,Bangalore,low,,99100.0,11/11/2024
EMPLOYED,25-34,PhD,Education,,moderate,,37200.0,11/12/2024
employed,35 - 44,Masters,Healthcare,Hyderabad,High,,142900.0,11/13/2024
unemployed,55+,High School,Technology,,High,,20300.0,11/14/2024
,,high school,Education,,,23.0,56600.0,11/15/2024
,45-54,Ph.D,,Urban,,,117800.0,11/16/2024
EMPLOYED,25_34,Bachelors,Retail,Hyderabad,HIGH,,64800.0,11/17/2024
,55+,Bachelor's,Health,,moderate,0.0,28000.0,11/18/2024
unemployed,45-54,Masters,Education,urban,Medium,,,11/19/2024
EMPLOYED,55+,,Education,suburban,High,,94900.0,11/20/2024
unemployed,45-54,high school,Health,Hyderabad,High,,16400.0,11/21/2024
unemployed,45-54,Masters,Tech ,urban,HIGH,,67300.0,11/22/2024
Employed,35 - 44,Diploma,Technology,suburban,Low,,6300.0,11/23/2024
,25_34,Masters,Healthcare,Hyderabad,High,,,11/24/2024
employed,35 - 44,Ph.D,Technology,suburban,High,7.0,63200.0,11/25/2024
unemployed,55+,Master,Tech ,,moderate,29.0,53800.0,11/26/2024
Unemployed,25-34,high school,Technology,Delhi,Medium,,106700.0,11/27/2024
unemployed,55+,High School,Retail,Bangalore,HIGH,,,11/28/2024
,25_34,Bachelor's,Finance,Mumbai,Low,,15500.0,11/29/2024
Employed,,Masters,Health,urban,Medium,11.0,107100.0,11/30/2024
employed,18-24,Ph.D,Healthcare,Delhi,Low,18.0,53800.0,12/1/2024
unemployed,35 - 44,Master,Tech ,urban,High,21.0,35200.0,12/2/2024
employed,35 - 44,Diploma,Healthcare,urban,low,,,12/3/2024
,25_34,Bachelor's,Technology,Hyderabad,,,46900.0,12/4/2024
unemployed,45-54,High School,Tech ,rural,low,23.0,149200.0,12/5/2024
Employed,18 to 24,PhD,Retail,urban,low,,37700.0,12/6/2024
employed,45-54,Masters,,rural,High,,121300.0,12/7/2024
EMPLOYED,25_34,Bachelor's,,urban,High,6.0,,12/8/2024
EMPLOYED,18 to 24,PhD,Retail,,moderate,,95900.0,12/9/2024
EMPLOYED,25-34,PhD,Healthcare,rural,HIGH,,100300.0,12/10/2024
employed,18 to 24,,Healthcare,Mumbai,,,50400.0,12/11/2024
EMPLOYED,35 - 44,Diploma,Tech ,Bangalore,moderate,,49900.0,12/12/2024
,18-24,,Tech ,urban,,,77300.0,12/13/2024
EMPLOYED,25_34,High School,Retail,urban,low,,8300.0,12/14/2024
EMPLOYED,45-54,High School,Retail,Delhi,moderate,28.0,112100.0,12/15/2024
UNEMPLOYED,25-34,Master,Healthcare,Mumbai,High,,86900.0,12/16/2024
unemployed,45-54,High School,Health,,Medium,26.0,103800.0,12/17/2024
EMPLOYED,35 - 44,PhD,Healthcare,suburban,Medium,26.0,,12/18/2024
UNEMPLOYED,55+,Masters,Health,,Medium,9.0,,12/19/2024
Unemployed,25_34,Bachelor's,Healthcare,urban,,15.0,38400.0,12/20/2024
,18-24,High School,Education,,low,10.0,82300.0,12/21/2024
unemployed,25-34,high school,,urban,High,,,12/22/2024
